,ELBO,NumberofCluster
0,24468.781471921535,8.0
1,38138.1722547128,7.0
2,41009.69847986529,6.0
3,42918.14609715642,5.0
4,44310.788887502706,5.0
5,44789.54123564133,5.0
6,45025.884787779665,5.0
7,45197.692284000645,5.0
8,45330.60707000549,5.0
9,45438.32779519057,5.0
10,45528.39243792602,5.0
11,45604.82069872914,5.0
12,45670.59636327194,5.0
13,45727.93949760116,5.0
14,45778.51653043851,5.0
15,45823.603534613394,5.0
16,45864.20244166643,5.0
17,45901.11416472307,5.0
18,45934.95791575204,5.0
19,45966.15765215685,5.0
20,45995.03512678496,5.0
21,46021.94887252807,5.0
22,46047.249243770384,5.0
23,46071.22320873893,5.0
24,46094.103235150375,5.0
25,46116.08075806822,5.0
26,46137.32550729335,5.0
27,46158.012627356846,5.0
28,46178.33236676601,5.0
29,46198.48086036114,5.0
30,46218.65736278855,5.0
31,46239.07389807853,5.0
32,46259.96994436383,5.0
33,46281.62992152123,5.0
34,46304.406512571695,5.0
35,46328.75568166796,5.0
36,46355.29327971479,5.0
37,46384.888899858386,5.0
38,46418.79901014445,5.0
39,46458.68380148343,5.0
40,46506.19242904213,5.0
41,46563.75889341528,5.0
42,46637.00392895405,5.0
43,46733.08929031881,5.0
44,46860.02770801182,5.0
45,47037.24137472083,5.0
46,47295.92250468838,5.0
47,47701.06183125113,5.0
48,48315.17383299421,5.0
49,49196.57633207084,5.0
50,50018.4923490623,5.0
51,50292.7084312112,5.0
52,50528.94406235055,5.0
53,50787.89572937055,5.0
54,50878.187312310525,5.0
55,50952.654850050996,5.0
56,50964.38259584678,5.0
57,50974.17038220032,5.0
58,50985.69024253309,5.0
59,51007.43597998452,4.0
60,51048.05601488517,4.0
61,51062.7036369652,4.0
62,51080.44301803949,4.0
63,51099.955913656486,4.0
64,51121.47876022892,4.0
65,51146.557484269404,4.0
66,51176.67011478196,4.0
67,51213.57797328798,4.0
68,51259.668322769976,4.0
69,51318.287236804994,4.0
70,51394.160209982554,4.0
71,51493.92438090292,4.0
72,51626.714838727035,4.0
73,51804.65340944083,4.0
74,52043.31962379107,4.0
75,52226.901497549356,4.0
76,52246.484446509196,4.0
77,52255.785924001975,4.0
78,52266.094620438555,4.0
79,52284.002807785306,4.0
80,52296.092604947735,4.0
81,52300.985878240914,4.0
82,52304.557508444705,4.0
