,ELBO,NumberofCluster
0,-11204.673670082488,8.0
1,-2586.6486014752063,8.0
2,5969.209443383757,8.0
3,13252.68142894625,8.0
4,14159.706677515485,8.0
5,14907.881615224978,6.0
6,16013.588514623018,6.0
7,20071.970594773662,6.0
8,23046.327975774468,6.0
9,24283.546837706992,6.0
10,24722.568331130526,5.0
11,24922.764035177086,5.0
12,25020.740182670677,5.0
13,25081.1214773417,5.0
14,25124.941482283248,5.0
15,25160.375410093104,5.0
16,25190.74605841491,5.0
17,25217.52371899697,5.0
18,25241.47070122009,5.0
19,25263.092185058675,5.0
20,25282.820599741113,5.0
21,25301.015727359936,5.0
22,25317.599924421767,5.0
23,25332.01566972062,5.0
24,25344.38361524122,5.0
25,25355.294594041894,5.0
26,25365.2919129376,5.0
27,25374.778740039492,5.0
28,25383.948358641283,5.0
29,25392.838511709822,5.0
30,25401.402996548757,5.0
31,25409.52771065023,5.0
32,25416.965599253363,5.0
33,25423.11272077205,5.0
34,25426.632600035402,5.0
35,25429.1842663208,5.0
36,25434.93263771766,5.0
37,25441.098672937864,5.0
38,25447.187297629884,5.0
39,25453.1239662209,5.0
40,25458.877253048904,5.0
41,25464.43725725457,5.0
42,25469.802392705802,5.0
43,25474.968433272796,5.0
44,25479.92616154323,5.0
45,25484.670965581732,5.0
46,25489.209298814247,5.0
47,25493.55331770666,5.0
48,25497.715561204466,5.0
49,25501.70764945165,5.0
50,25505.540077643825,5.0
51,25509.22219420244,5.0
52,25512.762380891458,5.0
53,25516.168303958388,5.0
54,25519.4471236921,5.0
55,25522.605682157166,5.0
56,25525.650583682796,5.0
57,25528.58826016385,5.0
58,25531.424957754378,5.0
59,25534.166707869328,5.0
60,25536.819259458432,5.0
61,25539.388009178314,5.0
62,25541.87794346649,5.0
63,25544.29359050279,5.0
64,25546.63902117889,5.0
65,25548.917851625018,5.0
66,25551.133284716736,5.0
67,25553.288162930112,5.0
68,25555.385022677987,5.0
69,25557.4261464914,5.0
70,25559.413623873254,5.0
71,25561.349378208113,5.0
72,25563.235212706022,5.0
73,25565.07282590201,5.0
74,25566.86384456153,5.0
75,25568.60982685434,5.0
76,25570.312271249786,5.0
77,25571.972631197405,5.0
78,25573.59230708806,5.0
79,25575.17265604366,5.0
80,25576.714983286634,5.0
81,25578.220561795224,5.0
82,25579.69061912293,5.0
83,25581.12633591184,5.0
84,25582.52884902792,5.0
85,25583.899259784786,5.0
86,25585.238622216253,5.0
87,25586.54795328302,5.0
88,25587.828234739536,5.0
89,25589.08040218326,5.0
