,ELBO,NumberofCluster
0,-14453.784532971797,8.0
1,-7007.496014247286,8.0
2,-3886.1407319843247,8.0
3,-1619.0824174214285,8.0
4,576.3835199008313,7.0
5,2901.3303364253406,7.0
6,7135.117226817461,7.0
7,16939.899849186062,7.0
8,19485.336444460714,7.0
9,19431.843443420516,6.0
10,19253.90059198939,6.0
11,18956.16619953486,6.0
12,18401.069298914288,6.0
13,19546.780257878425,6.0
14,22168.30285025448,6.0
15,23217.54825811252,5.0
16,23821.16647307412,5.0
17,24145.68796561404,5.0
18,24297.37304204403,5.0
19,24413.974082124565,5.0
20,24469.581928466654,5.0
21,24500.460560141186,5.0
22,24535.34799483526,5.0
23,24568.361190677486,5.0
24,24601.80559824493,5.0
25,24641.56058496024,5.0
26,24752.033871465203,5.0
27,24845.511959790052,4.0
28,24899.02093403582,4.0
29,24914.52994744219,4.0
30,24929.052239198965,4.0
31,24942.99812919566,4.0
32,24956.008961141044,4.0
33,24967.79512009174,4.0
34,24978.223080960168,4.0
35,24987.41400907827,4.0
36,24995.66886892678,4.0
37,25003.27733751196,4.0
38,25010.440672497894,4.0
39,25017.32777890959,4.0
40,25024.22075358393,4.0
41,25031.919301124224,4.0
42,25042.65353713006,4.0
43,25056.531310162696,4.0
44,25072.043228183764,4.0
45,25094.019267833384,4.0
46,25120.91400815563,4.0
47,25150.52446504784,4.0
48,25182.388296203415,4.0
49,25217.071620212704,4.0
50,25255.463852732562,4.0
51,25298.42393395779,4.0
52,25346.559135495947,4.0
53,25399.35030274281,4.0
54,25453.449245832657,4.0
55,25503.406173304185,4.0
56,25545.699192979475,4.0
57,25580.134818533385,4.0
58,25608.091335797864,4.0
59,25631.08004030432,4.0
60,25650.309824919997,4.0
61,25666.66961631546,4.0
62,25680.803524950257,4.0
63,25693.18286805427,4.0
64,25704.15858271409,4.0
65,25713.997094859245,4.0
66,25722.90497299106,4.0
67,25731.046639162094,4.0
68,25738.55809191492,4.0
69,25745.558919941726,4.0
70,25752.165030135217,4.0
71,25758.504983222603,4.0
72,25764.738889250173,4.0
73,25771.053456955382,4.0
74,25777.586146471986,4.0
75,25784.39140130077,4.0
76,25791.51292850856,4.0
77,25798.96553684635,4.0
78,25806.788020080414,4.0
79,25814.99202952265,4.0
80,25823.478123075707,4.0
81,25832.089872635996,4.0
82,25840.69080143678,4.0
83,25849.192597383608,4.0
84,25857.551360826004,4.0
85,25865.755493404395,4.0
86,25873.816961509277,4.0
87,25881.7723500406,4.0
88,25889.69468963758,4.0
89,25897.644677527376,4.0
90,25905.268341319952,4.0
91,25911.650787996474,4.0
92,25916.885640894237,4.0
93,25921.854657599903,4.0
94,25927.001820389658,4.0
95,25932.418831646708,4.0
96,25938.068953679045,4.0
97,25943.874768318383,4.0
98,25949.753171238008,4.0
99,25955.62974454974,4.0
100,25961.443386181436,4.0
101,25967.146563700102,4.0
102,25972.703863404255,4.0
103,25978.090108724587,4.0
104,25983.28852669224,4.0
105,25988.289069820785,4.0
106,25993.087025147757,4.0
107,25997.681805892902,4.0
108,26002.075955899647,4.0
109,26006.27433162954,4.0
110,26010.283432249784,4.0
111,26014.110859850847,4.0
112,26017.764901540104,4.0
113,26021.254204301218,4.0
114,26024.587522973947,4.0
115,26027.77354274612,4.0
116,26030.820745030775,4.0
117,26033.737319443084,4.0
118,26036.53109831037,4.0
119,26039.209526386116,4.0
120,26041.77963936143,4.0
121,26044.248053561394,4.0
122,26046.620980333835,4.0
123,26048.90423359692,4.0
124,26051.10323363139,4.0
125,26053.22303866423,4.0
126,26055.268358021567,4.0
127,26057.243568787882,4.0
128,26059.152739105655,4.0
129,26060.99964438156,4.0
130,26062.787790303522,4.0
131,26064.52042909825,4.0
132,26066.20057185968,4.0
133,26067.831008337806,4.0
134,26069.414324181776,4.0
135,26070.952905947088,4.0
136,26072.44896037829,4.0
137,26073.904516892107,4.0
138,26075.321439043084,4.0
139,26076.701442429614,4.0
140,26078.046087858474,4.0
141,26079.356790647893,4.0
142,26080.63482121148,4.0
